iter	Passed	Remaining
0	60	60036
1	60	30163
2	60	20226
3	61	15233
4	61	12245
5	61	10252
6	62	8816
7	62	7736
8	62	6900
9	62	6226
10	63	5679
11	63	5222
12	63	4834
13	63	4503
14	64	4218
15	64	3971
16	64	3751
17	65	3553
18	65	3377
19	65	3220
20	65	3076
21	66	2946
22	66	2827
23	66	2716
24	67	2615
25	67	2520
26	67	2437
27	68	2360
28	68	2287
29	68	2220
30	69	2159
31	69	2101
32	69	2043
33	69	1988
34	70	1937
35	70	1887
36	70	1840
37	70	1795
38	71	1753
39	71	1712
40	71	1674
41	71	1638
42	72	1603
43	72	1570
44	72	1538
45	72	1507
46	72	1478
47	73	1450
48	73	1423
49	73	1398
50	73	1373
51	74	1350
52	74	1328
53	74	1306
54	74	1286
55	75	1265
56	75	1246
57	75	1227
58	75	1209
59	76	1192
60	76	1175
61	76	1159
62	76	1143
63	77	1128
64	77	1113
65	77	1098
66	77	1084
67	77	1068
68	78	1055
69	78	1042
70	78	1030
71	78	1017
72	79	1005
73	79	994
74	79	982
75	79	971
76	80	960
77	80	950
78	80	939
79	80	929
80	81	919
81	81	910
82	81	901
83	81	891
84	81	881
85	82	873
86	82	863
87	82	855
88	82	847
89	82	839
90	83	831
91	83	823
92	83	816
93	83	809
94	84	802
95	84	795
96	84	788
97	84	781
98	85	775
99	85	768
100	85	763
101	85	755
102	86	749
103	86	743
104	86	737
105	86	732
106	87	726
107	87	721
108	87	715
109	87	710
110	88	705
111	88	700
112	88	695
113	88	690
114	89	685
115	89	681
116	89	677
117	90	673
118	90	668
119	90	664
120	90	660
121	91	656
122	91	651
123	91	648
124	92	644
125	92	641
126	92	636
127	92	632
128	93	628
129	93	624
130	93	620
131	93	616
132	93	612
133	94	608
134	94	605
135	94	601
136	94	598
137	95	594
138	95	590
139	95	587
140	95	583
141	96	580
142	96	576
143	96	573
144	96	570
145	97	567
146	97	564
147	97	561
148	97	558
149	98	555
150	98	552
151	98	549
152	98	546
153	98	543
154	99	541
155	99	538
156	99	535
157	100	533
158	100	531
159	100	528
160	100	526
